fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Nov,15,KARNATAKA,1519,KOLAR,3216647,343.798379805535,43,455,6881.12780534701,15759,0,25956,2731382,699066,86192,183338,22019,515.79094,16787.365807647,63242,99671,128073,321060,428,243756,582599,41715,9390.44706230002,1466449,65,42.19,28.1,99.87,NA
2024-2025,Nov,15,KARNATAKA,1521,MANDYA,1974569,335.946231382478,28,303,3969.644540857,15046,0,24123,1466092,180688,39872,9894,2474,362.60121,9257.52657345699,51634,77910,140699,342392,118,347172,748371,39169,4925.2808226,888536,71,39.04,32.54,100.02,NA
2024-2025,Nov,15,KARNATAKA,1529,RAMANAGARA,3278590,346.187289057227,42,256,6612.16833314796,28065,1,28299,2644888,375502,50455,42033,5251,460.70689,16229.1412889479,62774,102848,141139,313186,359,201218,429395,56364,9156.26606579991,1416633,82,43.82,27.04,99.92,NA
2024-2025,Nov,15,KARNATAKA,1530,Yadgir,3625287,338.282528858234,29,508,1018.832962185,20247,0,27879,2650370,500659,65725,324006,36388,0,9984.57162228498,89997,138771,154436,307263,155,274523,545470,48126,8965.73866009998,1407912,80,49.61,43.26,99.87,NA
2024-2025,Nov,15,KARNATAKA,1508,CHAMARAJA NAGARA,1983447,346.933227247539,33,414,2799.973178584,18199,0,17397,1833516,558304,79907,163361,29550,260.57194,9421.62134948398,55090,87314,116622,275114,173,223911,514076,35596,6361.07623089998,1048349,75,22.79,48.89,100.5,NA
2024-2025,Nov,15,KARNATAKA,1512,DAVANAGERE,2474082,338.6884644442,33,240,4127.885147248,14622,0,10618,1778711,448814,64835,317084,44058,548.88218,10701.0563000481,53178,91102,120204,281440,307,238810,522454,25240,6024.28897280007,942960,76,37.03,32.53,99.92,NA
2024-2025,Nov,15,KARNATAKA,1513,DHARWAR,1956631,345.409320004419,34,180,3441.139429127,23838,0,23734,1439127,124606,19251,91353,14947,355.85154,8767.869753827,41468,72667,83894,218791,166,170515,404769,47572,4970.87878469999,667809,76,36.35,28.59,100.07,NA
2024-2025,Nov,15,KARNATAKA,1518,KODAGU,395751,333.94350399116,37,93,424.86256767,4309,1,3322,343885,30322,6988,16359,3694,144.3606,1717.60478637,9207,15310,28361,67038,44,87890,190679,7631,1148.3816187,177743,78,52.79,17.22,99.98,NA
2024-2025,Nov,15,KARNATAKA,1523,RAICHUR,8621065,275.460490556778,41,1056,5729.26504486601,23093,0,31682,9692293,1719493,124929,2330924,154220,815.49414,33243.1970288662,232372,455542,282953,657834,773,373048,837266,54775,26698.4378440002,5063563,57,24.11,57.07,99.84,NA
2024-2025,Nov,15,KARNATAKA,1526,UDUPI,580757,347.339116948701,35,40,1491.996590356,10063,0,8949,518022,23352,6165,20428,6290,174.68748,3465.977110756,14623,24621,45956,109669,151,124091,252469,19012,1799.2930404,333582,90,68.46,6.09,99.95,NA
2024-2025,Nov,15,KARNATAKA,1529,RAMANAGARA,3278590,349.099901451943,43,265,6622.79465234797,31818,1,25683,2804926,396368,50370,43801,5225,460.70689,16875.4954441479,64367,105668,141237,312678,406,201226,428660,57501,9791.99390179994,1502521,82,43.66,26.59,99.94,NA
2024-2025,Nov,15,KARNATAKA,1501,BAGALKOTE,3871406,321.549217447773,34,1953,2852.603132971,11876,0,16920,3092062,517597,59204,242524,26105,627.94363,13423.0479269709,90001,153302,153836,338969,483,275117,557993,28796,9942.50116399995,1711761,58,31.72,48.57,100.01,NA
2024-2025,Nov,15,KARNATAKA,1504,BELAGAVI,9495280,332.96352605179,34,2363,8385.640012216,35016,0,55689,7569730,850047,101743,761063,80831,1411.12464,35001.2045728162,221234,323339,405712,883116,1174,825234,1680590,90705,25204.4399206002,4405455,54,21.99,35.96,100.18,NA
2024-2025,Nov,15,KARNATAKA,1517,HAVERI,3635022,336.865534208974,39,458,5121.284373117,26873,0,20562,3167356,456375,54780,421819,44008,542.2805,16333.295582817,80796,149688,154914,376708,528,272944,620648,47435,10669.7307097,1545680,69,34.74,33.46,100.24,NA
2024-2025,Nov,15,KARNATAKA,1519,KOLAR,3216647,343.26978413313,44,482,6881.12780534701,18691,0,23924,2944500,756474,86532,196202,22063,577.2741,17565.980699147,65512,103564,128487,322178,571,244320,583683,42615,10107.5787938,1582471,65,42.86,27.2,99.89,NA
2024-2025,Nov,15,KARNATAKA,1520,KOPPAL,6380429,306.519090087615,35,3246,3710.38983814201,20284,0,25470,6315696,1099016,98115,928037,80391,835.75125,23904.9550000419,179136,371304,224524,577214,447,322545,838668,45754,19358.8139118999,3323512,58,28.81,57.02,99.88,NA
2024-2025,Nov,15,KARNATAKA,1522,MYSURU,1838324,346.18986099135,36,135,4305.21969729903,25777,0,25575,1715217,310774,71141,202347,42367,433.70422,10676.831265299,46799,83056,143490,367088,409,347365,848168,51352,5937.907348,878998,80,38.2,20.35,100.1,NA
2024-2025,Nov,15,KARNATAKA,1530,Yadgir,3625287,338.755005009419,30,518,1022.461822185,23382,0,25824,2829669,534148,65837,343581,36440,0,10608.107184885,92147,142411,154758,307990,192,274901,546329,49206,9585.64536269998,1495836,80,51.39,41.79,99.87,NA
2024-2025,Nov,15,KARNATAKA,1502,BENGALURU,75033,324.130039820193,37,13,65.188172491,1051,3,1794,48719,9973,2764,806,287,42.86228,265.963366591,1302,2221,6056,13693,16,62825,140606,2845,157.9129141,26949,85,52.08,18.67,100.25,NA
2024-2025,Nov,15,KARNATAKA,1504,BELAGAVI,9495280,332.563463833582,34,2373,8385.640012216,35723,0,55301,7641135,860113,101820,765184,80846,1411.12464,35208.3878844162,222012,324625,405911,883548,1221,825409,1680907,91024,25411.6232322002,4445134,54,21.96,35.84,100.2,NA
2024-2025,Nov,15,KARNATAKA,1505,BALLARI,5290927,283.994980619853,51,2031,1734.88004001,9145,0,8137,5187009,1019031,69696,1626062,97948,435.70298,16901.42822431,100861,218502,115944,333077,977,170050,479081,17282,14730.8452043,2803368,44,39.69,32.54,99.92,NA
2024-2025,Nov,15,KARNATAKA,1513,DHARWAR,1956631,344.722638740165,34,181,3441.139429127,24793,0,23007,1457779,126290,19251,92291,14954,355.85154,8822.28520492699,41693,73109,83932,218875,179,170532,404774,47800,5025.29423579999,676206,76,36.4,28.59,100.07,NA
2024-2025,Nov,15,KARNATAKA,1518,KODAGU,395751,332.978020848573,37,93,424.86256767,4320,1,3346,348609,30428,6983,16449,3693,144.3606,1730.01451637,9289,15464,28387,67066,44,87907,190684,7666,1160.7913487,180070,78,52.71,17.28,99.98,NA
2024-2025,Nov,15,KARNATAKA,1524,SHIVAMOGGA,2304315,327.398061597839,25,477,2380.894037892,14519,0,10430,1828733,416711,83955,100054,18637,472.85558,8840.98601169201,70496,119624,145886,373478,145,248397,569929,24949,5987.23639380001,999717,76,37.92,40.37,100.07,NA
2024-2025,Nov,15,KARNATAKA,1525,TUMAKURU,3689990,347.881761693254,41,524,8128.21292937,55391,0,40369,4292518,599984,80175,354801,41110,847.64941,23908.74957877,103384,180576,214396,509663,1120,400103,882473,95760,14932.8872394,2203310,83,38.72,32.46,99.95,NA
2024-2025,Nov,15,KARNATAKA,1530,Yadgir,3625287,338.515245011594,31,515,1022.461822185,23754,0,25771,2880129,542738,65855,347948,36464,0,10772.137563185,92582,143264,154837,308208,199,275024,546614,49525,9749.67574099998,1521671,80,51.55,41.69,99.87,NA
2024-2025,Nov,15,KARNATAKA,1531,VIJAYANAGARA,6049984,308.972533034094,44,1244,5376.45555907001,17358,0,17291,5812330,1400482,115219,1304876,93639,81.19368,23416.1524683706,130923,251660,174492,460809,1506,250895,646909,34649,17958.5032293005,3010213,55,15.49,61.8,100.23,NA
2024-2025,Dec,15,KARNATAKA,1501,BAGALKOTE,4191276,322.479185266458,35,1972,2852.603132971,12486,0,16952,3196272,538579,59318,248283,26127,646.11208,13806.0271174709,90731,154742,154069,339518,550,275353,558505,29438,10307.3119044999,1768646,59,31.68,48.81,100,NA
2024-2025,Dec,15,KARNATAKA,1507,VIJAYPURA,3453504,346.382738370737,38,1158,3297.925137759,16734,1,35566,3013153,546000,66485,57000,5964,754.79575,14489.762760459,79020,121816,154346,327908,852,351409,772872,52300,10437.0418727,1599669,72,57.74,24.04,99.95,NA
2024-2025,Dec,15,KARNATAKA,1510,CHITRADURGA,4206097,346.344947389449,42,393,8619.87752716801,50817,0,29168,4600408,902828,89204,1087021,88066,645.3776,25198.535794468,108457,181049,174396,418812,573,333937,782340,79985,15933.2806673,2524002,69,29.15,42.07,101.15,NA
2024-2025,Dec,15,KARNATAKA,1513,DHARWAR,2114722,343.721117078453,35,183,3441.139429127,25272,0,22708,1481024,128808,19254,93731,14952,355.85154,8887.58320612699,41985,73653,83978,218970,184,170548,404784,47980,5090.59223699999,686231,76,36.32,28.66,100.07,NA
2024-2025,Dec,15,KARNATAKA,1514,GADAG,2959435,331.734294176902,30,1110,2304.203933057,20384,0,11482,2722056,428691,55862,234207,25850,429.94501,11764.142201757,88200,186569,122537,310987,126,165099,393236,31866,9029.9932587,1361399,69,19.36,65.3,99.94,NA
2024-2025,Nov,15,KARNATAKA,1515,KALABURAGI,4538154,326.925883873741,26,565,4711.117819782,28532,0,32396,3851687,960656,137865,84964,10845,628.53187,17931.811458582,144167,242740,245186,533689,213,425759,884996,60928,12592.1617688,2125319,64,31.92,50.22,99.89,NA
2024-2025,Nov,15,KARNATAKA,1523,RAICHUR,8621065,276.010898134522,41,1057,5729.26504486601,30154,0,31603,9769227,1738617,124971,2346488,154267,870.85704,33564.2532683662,232758,456284,283062,658001,798,373103,837311,61757,26964.1311835002,5102959,60,24.25,56.99,99.83,NA
2024-2025,Nov,15,KARNATAKA,1527,UTTARA KANNADA,1275096,342.687205284425,31,116,2079.582326966,12217,0,18885,1196043,70573,14861,46630,8072,411.33926,6589.607917666,38267,64461,88537,222225,94,204642,452929,31102,4098.6863307,647122,79,33.55,24.9,100.02,NA
2024-2025,Oct,15,KARNATAKA,1505,BALLARI,5215849,282.850010437996,50,2028,1237.475680245,8328,0,9561,5120715,1008796,69676,1602081,97939,389.64712,16111.0657122451,100563,217821,115884,333013,880,169834,478717,17889,14483.9429120001,2770062,43,39.57,33.66,99.92,NA
2024-2025,Oct,15,KARNATAKA,1514,GADAG,2572394,331.476226476963,30,1102,1949.371839943,12887,0,11918,2625830,412329,55834,225696,25830,348.48809,11001.862127643,87463,184993,122417,310779,95,164945,393019,24805,8704.00219770003,1310571,66,17.51,68.7,99.91,NA
2024-2025,Oct,15,KARNATAKA,1518,KODAGU,359238,334.552314597186,35,84,328.377359578,3919,1,3495,308032,27188,7079,14091,3746,124.96521,1483.870755278,8717,14481,28309,67487,33,87871,191252,7414,1030.5281857,158828,78,54.1,17.84,99.95,NA
2024-2025,Oct,15,KARNATAKA,1504,BELAGAVI,8696991,333.265632992143,32,2283,6039.033974465,31207,0,58254,6991556,790748,101364,704881,80572,1108.24975,30447.7370838652,214414,312288,404007,879728,881,823971,1678444,89461,23300.4533594002,4105002,53,21.02,37.69,100.12,NA
2024-2025,Oct,15,KARNATAKA,1523,RAICHUR,8230191,274.345025907126,40,1042,3814.720381863,21493,0,31373,9281039,1644385,124687,2222974,153867,701.23845,29978.0276808634,229957,450891,282351,656412,618,372227,835563,52866,25462.0688490004,4853534,56,23.14,59.1,99.83,NA
2024-2025,Oct,15,KARNATAKA,1507,VIJAYPURA,2947400,343.79702361177,34,1117,2112.160943349,14151,1,36748,2597010,470946,66352,48567,5917,560.26346,11600.867486249,75105,115318,153517,326914,613,350266,771391,50899,8928.44308290002,1394528,71,57.9,25.2,99.93,NA
2024-2025,Oct,15,KARNATAKA,1519,KOLAR,2900527,341.842283346552,41,433,4356.589014174,14372,0,26189,2518019,645829,85856,168722,21972,504.70578,13468.948438874,60941,95743,127654,319946,334,243466,582012,40561,8607.65364470001,1350117,64,41.43,27.89,99.86,NA
2024-2025,Oct,15,KARNATAKA,1531,VIJAYANAGARA,5791425,307.509897776061,43,1232,4244.515151481,15632,0,18541,5626568,1367801,115083,1272046,93618,81.19368,21627.9623365816,129275,247997,174223,460249,1348,250525,646300,34173,17302.2535051006,2923690,53,14.4,63.74,100.14,NA
2024-2025,Oct,15,KARNATAKA,1501,BAGALKOTE,3532881,320.369438767086,31,1887,2133.623552353,9772,0,18180,2759799,466021,58961,222045,25961,503.65461,11478.8307297526,86938,147648,153167,337351,340,274387,556314,27952,8841.55256739965,1529567,58,32.06,49.23,99.99,NA
2024-2025,Oct,15,KARNATAKA,1506,BIDAR,3550396,344.712699769994,39,482,6187.540185637,19920,0,46123,4266419,992503,78990,771835,53139,454.47105,21348.899354037,108130,168149,155133,304401,288,255447,477238,66043,14706.8881184,2318482,60,37.02,27.62,99.77,NA
2024-2025,Oct,15,KARNATAKA,1514,GADAG,2572394,331.087452360624,30,1102,1949.371839943,12815,0,11960,2623460,412203,55831,225142,25830,348.48809,10983.806807643,87407,184882,122412,310768,93,164942,393005,24775,8685.94687770003,1309464,66,17.48,68.74,99.91,NA
2024-2025,Oct,15,KARNATAKA,1515,KALABURAGI,4296404,325.110304760175,25,541,3436.64769386,21736,0,33690,3556403,891773,137775,78255,10834,561.86826,15560.74858566,141690,238054,244932,533268,124,425385,884395,55426,11562.2326318,1973221,63,29.18,54.02,99.88,NA
2024-2025,Oct,15,KARNATAKA,1516,HASSAN,3205158,344.263855477734,34,408,2983.30341833901,18005,2,29140,2452757,342875,69143,39229,6884,557.62345,11984.882682039,71366,130744,162574,401019,281,280377,647312,47145,8443.9558137,1249302,78,55.34,20.79,99.93,NA
2024-2025,Oct,15,KARNATAKA,1518,KODAGU,359238,334.719472687561,35,82,328.377359578,3912,1,3481,306289,26991,7079,14063,3755,124.96521,1478.551495278,8684,14426,28304,67474,32,87877,191262,7393,1025.2089257,158044,78,53.84,17.96,99.95,NA
2024-2025,Oct,15,KARNATAKA,1519,KOLAR,2900527,342.505044667441,41,435,4356.589014174,14399,0,26240,2529695,648601,85857,169514,21972,504.70578,13525.627783874,61045,95931,127666,319979,339,243487,582056,40639,8664.33298970002,1356498,64,41.52,27.87,99.86,NA
2024-2025,Oct,15,KARNATAKA,1523,RAICHUR,8230191,274.273830019681,40,1042,3814.720381863,21450,0,31344,9259660,1641879,124677,2216688,153826,701.23845,29912.7829606634,229750,450589,282270,656263,614,372203,835499,52794,25396.8241288004,4842222,56,23.08,59.14,99.83,NA
2024-2025,Oct,15,KARNATAKA,1528,CHIKKABALLAPURA,2250485,338.95930548813,34,1783,3505.998619315,12502,0,24804,1674687,335936,76618,230894,46584,331.74315,9514.249193615,48971,83117,131825,331350,238,222873,537069,37306,5676.5074243,894128,77,44.57,25.18,100.01,NA
2024-2025,Oct,15,KARNATAKA,1530,Yadgir,3255057,337.741365603846,28,501,772.040584522,19178,0,27831,2476399,469472,65597,306000,36297,0,9135.86438492198,87775,134945,153920,306112,110,274089,544519,47009,8363.82380039998,1320620,79,47.74,44.78,99.85,NA
2024-2025,Oct,15,KARNATAKA,1503,BENGALURU RURAL,1035511,348.987954463783,41,410,1214.251279244,5027,0,9002,1018486,144724,25130,60563,8323,246.02023,5014.664967144,24484,41051,58404,136851,166,120544,262799,14029,3554.3934579,528214,65,47.77,15.66,99.88,NA
2024-2025,Oct,15,KARNATAKA,1504,BELAGAVI,8696991,331.98838260585,32,2257,4511.675139432,30588,0,58320,6832342,773561,101282,691184,80522,1108.24975,28302.5065893322,212495,309178,403727,879233,813,823756,1678168,88908,22682.5816999002,4022157,53,20.81,38.05,100.11,NA
2024-2025,Oct,15,KARNATAKA,1506,BIDAR,3550396,343.600833677081,38,481,4203.635299444,19123,0,46340,4169720,970112,78911,755318,53081,454.47105,18985.299031444,107341,166839,154898,303977,243,255340,477037,65463,14327.192682,2266503,60,36.74,27.96,99.77,NA
2024-2025,Oct,15,KARNATAKA,1514,GADAG,2572394,330.711733698114,29,1100,1492.915141506,12397,0,12153,2592614,406887,55813,221924,25825,318.01139,10385.005239006,87088,184193,122371,310671,79,164927,392981,24550,8574.07870750003,1293788,66,16.97,69.43,99.89,NA
2024-2025,Oct,15,KARNATAKA,1517,HAVERI,3367794,335.090156301385,37,441,2227.323643805,22678,0,23513,2864402,415707,54549,387468,43907,399.82405,12225.476832705,76687,141672,154273,375128,353,272717,620098,46191,9598.32913889999,1405428,68,33.86,36.5,100.17,NA
2024-2025,Oct,15,KARNATAKA,1523,RAICHUR,8230191,273.748106273505,39,1038,2907.237258692,20835,0,31221,9114257,1609182,124550,2181532,153689,701.23845,28558.5816470924,228761,448753,282013,655697,584,372054,835165,52056,24950.1059384004,4767607,56,22.8,59.59,99.82,NA
2024-2025,Oct,15,KARNATAKA,1527,UTTARA KANNADA,1152409,344.050577787975,28,102,1046.646251949,8488,0,20862,980550,58906,14738,39237,7990,289.41458,4709.64877244899,34516,57706,87618,219904,48,204323,452168,29350,3373.58794049999,534377,79,32.57,26.49,99.97,NA
2024-2025,Oct,15,KARNATAKA,1501,BAGALKOTE,3532881,320.234866854144,30,1855,1800.730377676,9519,0,18212,2620810,443881,58887,214171,25947,503.65461,10697.1324016761,85753,145258,152896,336850,287,274337,556216,27731,8392.7474140001,1452271,58,32.37,48.49,100,NA
2024-2025,Oct,15,KARNATAKA,1511,DAKSHINA KANNADA,952227,347.808889191139,40,47,474.936885649,8820,0,12310,698464,35911,10511,41141,10567,226.23631,3130.493075449,17443,29592,65113,151426,177,170110,357484,21130,2429.3198798,365340,90,71.5,3.28,99.95,NA
2024-2025,Oct,15,KARNATAKA,1513,DHARWAR,1771830,342.887788977932,32,169,1523.10671519,14132,0,29651,1266550,111608,19242,80297,14917,220.58956,6086.54156648999,39312,68692,83594,218205,119,170281,404499,43783,4342.84529129999,591907,74,35.84,29.33,100.01,NA
2024-2025,Oct,15,KARNATAKA,1526,UDUPI,526386,348.750079730229,33,36,717.449542557,7452,0,11125,467953,21342,6140,18198,6251,135.0927,2484.528703157,13868,23247,45657,108986,121,123690,251646,18577,1631.9864606,302094,90,68.03,6.51,99.93,NA
2024-2025,Oct,15,KARNATAKA,1530,Yadgir,3255057,335.790323800354,27,493,477.778095223,18997,0,27479,2374704,448038,65581,296150,36273,0,8451.80434612296,85685,131641,153800,305920,95,274089,544601,46476,7974.02625089996,1269537,79,46.72,45.53,99.85,NA
2025-2026,Aug,15,KARNATAKA,1501,BAGALKOTE,1936992,324.17589507097,25,1588,205.319015479,5130,0,14160,1808918,266246,54941,171649,24872,433.70001,6503.09514307888,70852,117004,141706,317991,66,278769,566360,19290,5864.07611759988,1057919,57,40.29,76.22,100.18,NA
2025-2026,Aug,15,KARNATAKA,1515,KALABURAGI,2468651,345.070603527684,20,507,130.974023527,13544,1,29297,2619565,645615,134740,57516,10753,515.4125,9685.73527882699,126287,213278,234429,524892,44,436571,913983,42841,9039.34875529999,1457835,62,49.39,88.78,100.15,NA
2025-2026,Aug,15,KARNATAKA,1518,KODAGU,180051,354.167861799532,31,51,79.704687728,1227,2,3664,166121,11154,5501,7913,2750,98.72153,766.773411428,5358,8915,23440,56190,17,88673,192376,4891,588.3471937,82424,76,63.25,68.1,100.14,NA
2025-2026,Aug,15,KARNATAKA,1522,MYSURU,828014,384.92777578927,29,113,162.673993116,6805,0,21143,945432,167416,57658,108045,35133,175.07099,3976.97535231601,32348,55944,117379,302904,75,350924,851257,27948,3639.23036920001,496968,75,32.12,57.97,100.3,NA
2025-2026,Aug,15,KARNATAKA,1526,UDUPI,320630,372.381763981932,29,21,39.508418015,1728,0,8596,307951,13339,5407,15068,5500,87.4681,1273.729884015,10491,17040,41616,99936,78,126355,257677,10324,1146.753366,200996,89,79.31,72.35,100.3,NA
2025-2026,Aug,15,KARNATAKA,1527,UTTARA KANNADA,625337,362.631801592352,24,83,82.2785533869999,4477,0,14392,647344,37733,12873,24598,7219,235.0199,2664.773663087,26041,42491,78609,200064,27,206264,457381,18869,2347.4752097,352164,74,35.38,64.24,100.16,NA
2025-2026,Aug,15,KARNATAKA,1528,CHIKKABALLAPURA,982328,371.50707805899,29,1284,246.177965025,5494,0,16709,1138767,232020,63641,151123,39667,269.27731,4746.05528262502,38546,64108,112965,284476,165,224295,535851,22203,4230.60000760002,608517,63,33.99,67.82,100.08,NA
2025-2026,Aug,15,KARNATAKA,1530,Yadgir,1581598,350.607196975981,23,532,11.522863841,8818,0,22993,1835960,325290,65285,253838,37618,0,6448.53075744122,78802,120761,152915,312499,30,284382,569632,31811,6437.00789360022,1032425,69,63,95.4,100.01,NA
2025-2026,Sep,15,KARNATAKA,1513,DHARWAR,993127,365.411452371183,26,165,166.223890807,9270,0,15550,926120,79831,17624,59339,13613,212.4981,3762.870533507,35404,61155,76651,200877,57,172769,409631,24820,3384.1485427,444740,65,46.86,70.68,100.23,NA
2025-2026,Sep,15,KARNATAKA,1516,HASSAN,1772125,377.042252965978,28,262,540.297842354,13006,3,27267,1426342,187251,62918,26145,6443,424.95236,6343.16221415399,50298,90861,151293,375878,104,284343,655524,40273,5377.91201179999,728456,68,33.23,54.99,100.09,NA
2025-2026,Sep,15,KARNATAKA,1518,KODAGU,220376,352.18898757424,31,51,79.704687728,1230,2,3671,169889,11362,5503,8021,2752,98.72153,776.756566828,5433,9049,23465,56245,18,88673,192379,4901,598.3303491,84294,76,63.61,68.28,100.15,NA
2025-2026,Sep,15,KARNATAKA,1521,MANDYA,993834,366.571509558508,24,240,117.481537165,5592,0,18083,1078620,124602,33543,5699,1971,229.79892,4301.19407356498,43758,63659,118484,285913,28,343074,731535,23675,3953.91361639998,666594,70,65.37,67.56,100.5,NA
2025-2026,Sep,15,KARNATAKA,1525,TUMAKURU,1993200,374.938408820537,29,379,695.541062323,21819,0,36631,2146037,311707,74272,184123,39074,525.97407,9267.832112823,73524,123876,199483,480340,154,406824,898509,58450,8046.3169805,1093745,69,28.05,69.71,100.25,NA
2025-2026,Sep,15,KARNATAKA,1529,BENGALURU SOUTH,1700785,378.219685463836,26,111,236.886332394,7503,1,23555,790243,117666,41831,10900,4397,276.35246,3502.09338139398,29352,45370,121530,272357,22,202241,429654,31058,2988.85458899998,425996,79,51.04,68.41,101.16,NA
2025-2026,Aug,15,KARNATAKA,1508,CHAMARAJA NAGARA,880920,378.741919533417,23,328,111.836592576,3466,0,15550,905991,276154,69770,86757,25960,188.09141,3731.295706776,37835,57992,100366,239524,31,225808,518359,19016,3431.3677042,519329,69,26.52,70.04,100.3,NA
2025-2026,Aug,15,KARNATAKA,1515,KALABURAGI,2468651,344.524017921686,20,507,130.974023527,13210,1,29603,2617276,645015,134741,57468,10753,515.4125,9663.53095882698,126262,213230,234428,524893,44,436556,913952,42813,9017.14443529999,1456433,62,49.4,88.82,100.15,NA
2025-2026,Aug,15,KARNATAKA,1531,VIJAYANAGARA,3557805,323.783122905164,36,1204,396.000046547,2660,0,15054,4050741,929004,114601,1002675,94356,0,13511.6157571469,111849,208560,174335,459513,232,256729,658509,17714,13115.6157105999,2130594,48,26.03,78.35,100.06,NA
2025-2026,Sep,15,KARNATAKA,1507,VIJAYPURA,1749339,368.759884804493,24,786,156.555351658,8614,2,29864,1407520,242220,59034,31640,5679,423.91179,5770.83627225819,56850,85658,139239,297147,38,357194,782779,38478,5190.36913060019,761962,72,63.31,80.51,100.02,NA
2025-2026,Sep,15,KARNATAKA,1511,DAKSHINA KANNADA,552955,361.693407203726,36,26,71.858636863,5492,0,9589,403680,15991,8852,19634,8983,190.01476,1721.957343063,10915,18269,57242,134275,110,173011,364186,15081,1460.0839462,214671,88,75.12,65.87,100.28,NA
2025-2026,Sep,15,KARNATAKA,1514,GADAG,1912008,343.02103968159,19,929,71.12721087,3581,0,11515,1159480,190643,53623,104481,25431,251.47143,4299.8589917701,59437,123100,118643,304705,8,169649,403110,15096,3977.2603509001,570484,67,64.84,78.35,100.03,NA
2025-2026,Sep,15,KARNATAKA,1515,KALABURAGI,2603040,344.923115735925,20,506,130.974023527,14086,1,28894,2630592,648703,134748,57676,10756,515.4125,9719.90641222699,126417,213504,234443,524938,44,436608,914068,42980,9073.51988869999,1464384,62,49.36,88.51,100.16,NA
2025-2026,Sep,15,KARNATAKA,1522,MYSURU,980972,383.820311920456,29,116,162.673993116,7008,0,21220,978679,173901,57750,112529,35188,175.07099,4094.113773616,32954,57059,117570,303400,79,350866,850996,28228,3756.3687905,513680,76,32.25,57.57,100.38,NA
2025-2026,Sep,15,KARNATAKA,1524,SHIVAMOGGA,1268393,347.710807004783,23,377,143.189684743,3203,0,8354,1325494,298324,79319,75228,17476,351.27372,5103.34928894298,57023,93162,133164,346579,48,250497,576348,11557,4608.88588419998,748190,67,38.62,75.82,100.24,NA
2025-2026,Sep,15,KARNATAKA,1527,UTTARA KANNADA,696328,363.101006863571,25,83,82.278553387,4654,0,14322,661609,38296,12893,24780,7219,235.0199,2719.607393887,26363,43068,78674,200244,28,206278,457423,18976,2402.3089405,359204,74,35.78,64.17,100.17,NA
2025-2026,Sep,15,KARNATAKA,1528,CHIKKABALLAPURA,1225743,369.960209139253,29,1298,246.177965025,5542,0,16776,1160423,236328,63653,154208,39681,230.35081,4769.632132725,38847,64605,113002,284576,178,224312,535890,22318,4293.1033577,620068,63,34.11,67.89,100.08,NA
2025-2026,Aug,15,KARNATAKA,1502,BENGALURU,26181,321.595615004362,25,1,16.851591089,247,2,1291,13756,2883,2402,399,272,32.6429,93.733183889,545,880,5336,11996,3,63185,141327,1538,44.2386928,7241,81,64.1,40.05,103.38,NA
2025-2026,Aug,15,KARNATAKA,1503,BENGALURU RURAL,651548,365.943697035878,32,339,201.674215373,2399,0,7098,593397,72035,22098,35298,7766,165.53521,2538.70834527299,18024,29809,53132,125628,23,122543,266545,9497,2171.49891989999,303584,61,47.72,68.71,100.01,NA
2025-2026,Aug,15,KARNATAKA,1507,VIJAYPURA,1486651,371.24813381693,24,785,156.555351658,8265,2,29874,1374206,237098,58995,30956,5670,423.91179,5682.18127145828,56369,84828,139126,296902,38,357132,782640,38139,5101.71412980029,745341,72,63.25,80.66,100.02,NA
2025-2026,Aug,15,KARNATAKA,1513,DHARWAR,888629,364.926177191346,26,164,166.223890807,9150,0,15565,920598,79518,17624,59204,13610,212.4981,3738.22507950699,35313,60974,76617,200787,55,172762,409613,24715,3359.50308869999,441772,65,46.88,70.81,100.2,NA
2025-2026,Aug,15,KARNATAKA,1521,MANDYA,851692,366.926136348335,24,239,117.481537165,5568,0,18057,1069452,123597,33541,5677,1971,229.79892,4271.379360865,43651,63495,118445,285823,26,343054,731483,23625,3924.0989037,661257,70,65.65,67.54,100.5,NA
2025-2026,Aug,15,KARNATAKA,1526,UDUPI,320630,372.013873240577,29,21,39.508418015,1731,0,8594,308695,13339,5407,15131,5504,87.4681,1275.364744015,10510,17069,41622,99951,78,126358,257681,10325,1148.388226,201471,89,79.26,72.29,100.3,NA
