fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,July,15,KARNATAKA,1507,VIJAYPURA,1897615,344.008905685464,27,973,1515.178239957,7678,1,38533,1774965,318964,66180,33783,5848,382.70798,8003.923892757,64951,98325,151798,325160,163,348194,769819,46211,6106.0376728,972275,70,55.83,29.18,99.93,NA
2024-2025,July,15,KARNATAKA,1510,CHITRADURGA,2245168,340.570425832363,29,317,3286.405195436,24329,0,31636,2531677,503711,88525,665313,87161,272.37862,12180.926955036,86406,140857,171290,414479,70,332541,782768,55965,8622.1431396,1381960,63,25.48,46.03,101.37,NA
2024-2025,July,15,KARNATAKA,1512,DAVANAGERE,1252590,337.047006868139,28,193,1851.589594063,8587,0,14319,1325832,346389,64864,256794,44178,210.17207,6530.43873616299,46111,77958,119170,280981,127,238457,523628,22906,4468.67707209998,718554,76,31.34,42.87,99.94,NA
2024-2025,July,15,KARNATAKA,1516,HASSAN,1922434,339.930666737975,28,341,1668.242860061,11659,2,28696,1692179,241652,68401,27036,6823,394.25215,7814.730367161,59003,106795,160915,397493,83,280619,648684,40355,5752.2353571,867535,76,51.86,23.42,99.96,NA
2024-2025,July,15,KARNATAKA,1530,Yadgir,1895360,333.996995181626,22,442,390.250747307,17166,0,25343,1730667,329659,65082,204718,35896,0,6170.62652390699,75689,115095,152669,303209,25,272741,541556,42509,5780.37577659999,947614,79,41.08,53.19,99.87,NA
2024-2025,Aug,15,KARNATAKA,1505,BALLARI,5013458,280.487899133594,49,2014,888.038119991,3067,0,14268,4918585,970305,69893,1538062,98060,298.86786,14982.9417135911,99932,216105,115742,333460,660,169626,479117,17335,13796.0357336001,2667347,42,37.77,35.61,99.92,NA
2024-2025,Aug,15,KARNATAKA,1507,VIJAYPURA,2276058,344.042757926759,29,1035,1682.330131616,8396,1,39434,2065693,370606,66451,38408,5891,475.77119,9264.96848911601,68928,104894,152474,326614,260,348817,771040,47830,7106.86716750001,1123266,71,56.71,28.21,99.95,NA
2024-2025,Aug,15,KARNATAKA,1508,CHAMARAJA NAGARA,1370352,347.896547452938,27,334,1059.645658593,10689,0,22983,1295041,409134,79134,115475,29111,199.34756,5764.39614569301,46426,72001,115018,271479,51,223309,512971,33672,4505.40292710001,751536,74,21.79,51.07,100.39,NA
2024-2025,Aug,15,KARNATAKA,1519,KOLAR,2133359,343.886835404027,35,340,1428.570382913,9160,0,28276,1914415,496399,85261,124028,21872,257.73108,8269.72262291301,53386,82822,126631,317831,148,241608,580289,37436,6583.42116000001,1026274,63,40.65,29.35,99.93,NA
2024-2025,Aug,15,KARNATAKA,1526,UDUPI,444536,348.460209603917,32,35,590.361165689,4857,0,13345,426805,18804,6088,16366,6206,134.16806,2211.774823289,13085,21851,45380,108331,110,123527,251302,18202,1487.2455976,275772,90,69.04,6.66,99.97,NA
